Directory,Image Count
"Retama_raetam",540
"Rhagodia_candolleana",993
"Rhagodia_parabolica",1153
"Rhagodia_spinescens",445
"Rhamnus_alaternus",964
"Rhodomyrtus_tomentosa",1059
"Rhynchosia_minima",1356
"Richardia_brasiliensis",709
"Richardia_humistrata",428
"Ricinus_communis",933
"Rivina_humilis",970
"Robinia_pseudoacacia",886
"Romulea_rosea",710
"Rorippa_palustris",968
"Rorippa_sylvestris",974
"Rosa_bracteata",985
"Rosa_canina",980
"Rosa_rubiginosa",975
"Rostraria_cristata",676
"Rottboellia_cochinchinensis",580
"Rubus_grabowskii",321
"Rubus_moluccanus",809
"Rubus_niveus",1154
"Rubus_rosifolius",975
"Rubus_ulmifolius",978
"Rumex_acetosa",612
"Rumex_acetosella",947
"Rumex_brownii",685
"Rumex_conglomeratus",939
"Rumex_crispus",959
"Rumex_hypogaeus",341
"Rumex_obtusifolius",799
"Rumex_sagittatus",973
"Rumex_sanguineus",709
"Sagittaria_graminea",273
"Sagittaria_montevidensis",701
"Sagittaria_platyphylla",938
"Salix_babylonica",896
"Salix_cinerea",963
"Salix_nigra",799
"Salpichroa_origanifolia",1312
"Salsola_australis",962
"Salvia_aurea",557
"Salvia_coccinea",669
"Salvia_reflexa",1518
"Salvia_verbenaca",974
"Salvinia_molesta",900
"Sanguisorba_minor",954
"Scabiosa_columbaria",1422
"Schinus_molle",939
"Schinus_terebinthifolia",962
"Schkuhria_pinnata",725
"Schoenoplectiella_mucronata",631
"Sclerolaena_birchii",415
"Sclerolaena_muricata",400
"Scolymus_hispanicus",714
"Scolymus_maculatus",523
"Scoparia_dulcis",829
"Searsia_lancea",941
"Senecio_angulatus",971
"Senecio_glastifolius",685
"Senecio_inaequidens",959
"Senecio_jacobaea",966
"Senecio_lautus",565
"Senecio_linearifolius",967
"Senecio_madagascariensis",872
"Senecio_minimus",801
"Senecio_odoratus",703
"Senecio_pinnatifolius_complex",975
"Senecio_pterophorus",989
"Senecio_spanomerus",196
"Senna_alata",924
"Senna_artemisioides",925
"Senna_hirsuta",993
"Senna_obtusifolia",960
"Senna_occidentalis",736
"Senna_pendula_var_glabrata",989
"Senna_tora",263
"Seriphium_plumosum",964
"Sesbania_cannabina",879
"Sesbania_punicea",963
"Setaria_parviflora",864
"Setaria_sphacelata",1109
"Setaria_verticillata",949
"Sida_acuta",916
"Sida_cordifolia",973
"Sida_corrugata",511
